System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =  0.0430116291 + j-0.1534871242
[  24,  21] =  -259.4530905 + j  354.2709837
[  22,  22] =   278.2235193 + j -356.6811825
[  23,  22] =  -74.75573585 + j  75.29339745
[  24,  22] =  -106.9710741 + j  84.50354484
[  23,  23] =   245.4203589 + j -353.1614693
[  24,  23] =  -54.39971295 + j  69.11794566
[  24,  24] =   259.4530905 + j -354.2709837
[  25,  25] =   11.47979551 + j -10.68038354
[  26,  25] =  -3.852268307 + j  1.598904582
[  27,  25] =  -7.174872193 + j  6.675239763
[  28,  25] =   2.407667692 + j-0.9993153744
[  26,  26] =   11.55958486 + j -10.63161875
[  27,  26] =   2.407667692 + j-0.9993153744
[  28,  26] =  -7.224740535 + j  6.644761767
[  27,  27] =   7.174872193 + j -6.675239733
[  28,  27] =  -2.407667692 + j 0.9993153679
[  28,  28] =   7.224740535 + j -6.644761737
[  29,  29] =   531.0366169 + j -399.6540262
[  30,  29] =  -123.8552991 + j   157.044866
[  31,  29] =  -55.12701084 + j  127.1188243
[  32,  29] =  -10.41248268 + j  7.836353592
[  33,  29] =   2.428535277 + j -3.079311098
[  34,  29] =   1.080921781 + j -2.492525966
[  30,  30] =   588.8679027 + j  -418.057972
[  31,  30] =  -123.8552991 + j   157.044866
[  32,  30] =   2.428535277 + j -3.079311098
[  33,  30] =  -11.54642947 + j  8.197215275
[  34,  30] =   2.428535277 + j -3.079311098
[  31,  31] =   531.0366169 + j -399.6540262
[  32,  31] =   1.080921781 + j -2.492525966
[  33,  31] =   2.428535277 + j -3.079311098
[  34,  31] =  -10.41248268 + j  7.836353592
[  32,  32] =   10.41248268 + j -7.836346739
[  33,  32] =  -2.428535277 + j  3.079311098
[  34,  32] =  -1.080921781 + j  2.492525966
[  33,  33] =   11.54642947 + j -8.197208421
[  34,  33] =  -2.428535277 + j  3.079311098
[  34,  34] =   10.41248268 + j -7.836346739
[  35,  35] =   11.46584481 + j -8.312994159
[  36,  35] =  -2.407667692 + j 0.9993153679
[  38,  35] =  -4.290972612 + j  1.637761167
[  36,  36] =   13.75456377 + j -13.26448546
[  37,  36] =   -6.52982324 + j  6.619723755
[  37,  37] =    6.52982324 + j -6.619723725
[  38,  38] =   4.290972612 + j -1.637754427
