System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =  0.0430116291 + j-0.1534871242
[  28,  24] =  0.4858442625 + j  -1.22025791
[  29,  24] =  0.2660516357 + j-0.9121919108
[  25,  25] =   1.002683767 + j -3.127559464
[  26,  25] = -0.1263013779 + j 0.6966811886
[  27,  25] =  0.4858442625 + j  -1.22025791
[  28,  25] =  -1.002683767 + j  3.127559664
[  29,  25] =  0.1263013779 + j-0.6966812314
[  26,  26] =  0.8866941927 + j -2.950512888
[  27,  26] =  0.2660516357 + j-0.9121919108
[  28,  26] =  0.1263013779 + j-0.6966812314
[  29,  26] = -0.8866941927 + j  2.950513088
[  27,  27] =   10.14311659 + j -20.33071701
[  28,  27] =  -3.437763365 + j   6.38507005
[  29,  27] =  -3.203229146 + j  5.337470868
[  33,  27] =  -5.564470387 + j  7.133623651
[  34,  27] =   1.495114717 + j -1.505867949
[  35,  27] =   2.139421481 + j -1.690070897
[  28,  28] =   13.25248329 + j -23.55563574
[  29,  28] =  -3.037611028 + j  4.767628485
[  33,  28] =   1.495114717 + j -1.505867949
[  34,  28] =  -4.908407178 + j  7.063229386
[  35,  28] =   1.087994259 + j -1.382358913
[  36,  28] =   1.444600615 + j-0.5995892246
[  29,  29] =   13.03943252 + j -22.88819196
[  33,  29] =   2.139421481 + j -1.690070897
[  34,  29] =   1.087994259 + j -1.382358913
[  35,  29] =   -5.18906181 + j  7.085419674
[  36,  29] =  -4.304923316 + j  4.005143858
[  30,  30] =   2.290181489 + j -6.601020882
[  31,  30] =  -0.971688525 + j  2.440515799
[  32,  30] = -0.5321032714 + j    1.8243838
[  31,  31] =   2.005367533 + j -6.255119229
[  32,  31] = -0.2526027559 + j  1.393362441
[  32,  32] =   1.773388385 + j -5.901026076
[  33,  33] =   283.7879897 + j -363.8148061
[  34,  33] =  -76.25085057 + j  76.79926538
[  35,  33] =  -109.1104955 + j  86.19361572
[  34,  34] =   250.3287661 + j -360.2246986
[  35,  34] =  -55.48770721 + j  70.50030457
[  35,  35] =   264.6421523 + j -361.3564033
[  36,  36] =   11.47979551 + j -10.68038354
[  37,  37] =   11.46584481 + j -8.312994159
[  38,  37] =  -2.407667692 + j 0.9993153679
[  38,  38] =   13.75456377 + j -13.26448546
